Designator,Mid X,Mid Y,Rotation,Layer
R96,300.2855,-153.115,180.0,bottom
R97,331.2735,-153.115,180.0,bottom
R98,350.3235,-153.115,180.0,bottom
R99,369.3735,-153.115,180.0,bottom
SW1,54.853,-46.97115,180.0,top
SW10,264.403,-46.97115,180.0,top
SW101,188.6451,-147.5142,0.0,bottom
SW102,188.6451,-147.5142,0.0,top
SW11,283.453,-46.97115,180.0,top
SW12,302.503,-46.97115,180.0,top
SW13,321.553,-46.97115,180.0,top
SW14,345.3655,-46.97115,180.0,top
SW15,364.4155,-46.97115,180.0,top
SW16,54.853,-70.78365,180.0,top
SW17,73.903,-70.78365,180.0,top
SW18,92.953,-70.78365,180.0,top
SW19,112.003,-70.78365,180.0,top
SW2,92.953,-46.97115,180.0,top
SW20,131.053,-70.78365,180.0,top
SW21,150.103,-70.78365,180.0,top
SW22,169.153,-70.78365,180.0,top
SW23,188.203,-70.78365,180.0,top
SW24,207.253,-70.78365,180.0,top
SW25,226.303,-70.78365,180.0,top
SW26,245.353,-70.78365,180.0,top
SW27,264.403,-70.78365,180.0,top
SW28,283.453,-70.78365,180.0,top
SW29,312.028,-70.78365,180.0,top
SW3,112.003,-46.97115,180.0,top
SW30,345.3655,-70.78365,180.0,top
SW31,364.4155,-70.78365,180.0,top
SW32,59.6155,-89.83365,180.0,top
SW33,83.428,-89.83365,180.0,top
SW34,102.478,-89.83365,180.0,top
SW35,121.528,-89.83365,180.0,top
SW36,140.578,-89.83365,180.0,top
SW37,159.628,-89.83365,180.0,top
SW38,178.678,-89.83365,180.0,top
SW39,197.728,-89.83365,180.0,top
SW4,131.053,-46.97115,180.0,top
SW40,216.778,-89.83365,180.0,top
SW41,235.828,-89.83365,180.0,top
SW42,254.878,-89.83365,180.0,top
SW43,273.928,-89.83365,180.0,top
SW44,292.978,-89.83365,180.0,top
SW45,316.7905,-89.83365,180.0,top
SW46,345.3655,-89.83365,180.0,top
SW47,364.4155,-89.83365,180.0,top
SW48,61.99675,-108.88365,180.0,top
SW49,88.1905,-108.88365,180.0,top
SW5,150.103,-46.97115,180.0,top
SW50,107.2405,-108.88365,180.0,top
SW51,126.2905,-108.88365,180.0,top
SW52,145.3405,-108.88365,180.0,top
SW53,164.3905,-108.88365,180.0,top
SW54,183.4405,-108.88365,180.0,top
SW55,202.4905,-108.88365,180.0,top
SW56,221.5405,-108.88365,180.0,top
SW57,240.5905,-108.88365,180.0,top
SW58,259.6405,-108.88365,180.0,top
SW59,278.6905,-108.88365,180.0,top
SW6,178.678,-46.97115,180.0,top
SW60,309.64675,-108.88365,180.0,top
SW61,66.75925,-127.93365,180.0,top
SW62,97.7155,-127.93365,180.0,top
SW63,116.7655,-127.93365,180.0,top
SW64,135.8155,-127.93365,180.0,top
SW65,154.8655,-127.93365,180.0,top
SW66,173.9155,-127.93365,180.0,top
SW67,192.9655,-127.93365,180.0,top
SW68,212.0155,-127.93365,180.0,top
SW69,231.0655,-127.93365,180.0,top
SW7,197.728,-46.97115,180.0,top
SW70,250.1155,-127.93365,180.0,top
SW71,269.1655,-127.93365,180.0,top
SW72,304.88425,-127.93365,180.0,top
SW73,345.3655,-127.93365,180.0,top
SW74,57.23425,-146.98365,180.0,top
SW75,81.04675,-146.98365,180.0,top
SW76,104.85925,-146.98365,180.0,top
SW77,176.29675,-146.98365,180.0,top
SW78,247.73425,-146.98365,180.0,top
SW79,271.54675,-146.98365,180.0,top
SW8,216.778,-46.97115,180.0,top
SW80,295.35925,-146.98365,180.0,top
SW81,326.3155,-146.98365,180.0,top
SW82,345.3655,-146.98365,180.0,top
SW83,364.4155,-146.98365,180.0,top
SW9,235.828,-46.97115,180.0,top
U1,208.729,-147.781,270.0,top
U2,161.4745,-143.908,0.0,bottom
U3,329.1145,-128.35,90.0,bottom
